document_index,document_title,paragraph_index,question,answer,label
2,CIENCIA_DA_COMPUTACAO,0,A quem é atribuida a invenção do ábaco?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",1
2,CIENCIA_DA_COMPUTACAO,0,Qual foi a primeira ferramenta conhecida para a computação?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",1
2,CIENCIA_DA_COMPUTACAO,0,Qual era o uso original do ábaco?,Seu uso original era desenhar linhas na areia com rochas.,1
2,CIENCIA_DA_COMPUTACAO,0,Como são utilizadas as versões mais modernas do ábaco?,Versões mais modernas do ábaco ainda são usadas como instrumento de cálculo.,1
2,CIENCIA_DA_COMPUTACAO,0,Quantas regras Pānini utilizou para formular a gramática de Sânscrito?,"a.C., na antiga Índia, o gramático Pānini formulou a gramática de Sânscrito usando 3959 regras conhecidas como Ashtadhyāyi, de forma bastante sistemática e técnica.",1
2,CIENCIA_DA_COMPUTACAO,0,Por quem eram produzidas as tabelas logarítmicas?,"Entre 200 a.C. e 400, os indianos também inventaram o logaritmo, e partir do século XIII tabelas logarítmicas eram produzidas por matemáticos islâmicos.",1
2,CIENCIA_DA_COMPUTACAO,0,Quem inventou o logaritmo?,"Entre 200 a.C. e 400, os indianos também inventaram o logaritmo, e partir do século XIII tabelas logarítmicas eram produzidas por matemáticos islâmicos.",1
2,CIENCIA_DA_COMPUTACAO,1,A quem era associado o termo computador?,"Antes da década de 1920, computador era um termo associado a pessoas que realizavam cálculos, geralmente liderados por físicos.",1
2,CIENCIA_DA_COMPUTACAO,1,Em que eram empregados os computadores antes da década de 1920?,"Milhares de computadores eram empregados em projetos no comércio, governo e sítios de pesquisa.",1
2,CIENCIA_DA_COMPUTACAO,1,A expressão máquina computacional se referia à quê?,"Após a década de 1920, a expressão máquina computacional começou a ser usada para referir-se a qualquer máquina que realize o trabalho de um profissional, especialmente aquelas de acordo com os métodos da Tese de Church-Turing.",1
2,CIENCIA_DA_COMPUTACAO,1,Quando o termo máquina computacional perdeu espaço para o termo computador?,"O termo máquina computacional acabou perdendo espaço para o termo reduzido computador no final da década de 1940, com as máquinas digitais cada vez mais difundidas.",1
2,CIENCIA_DA_COMPUTACAO,1,Como é conhecido Alan Turing?,"Alan Turing, conhecido como pai da Ciência da Computação, inventou a Máquina de Turing, que posteriormente evoluiu para o computador moderno.",1
2,CIENCIA_DA_COMPUTACAO,2,Ao que a ciência da computação contribuiu?,"Apesar de sua pequena história enquanto uma disciplina acadêmica, a Ciência da Computação deu origem a diversas contribuições fundamentais para a ciência e para a sociedade.",1
2,CIENCIA_DA_COMPUTACAO,2,O que é linguagem de programação?,"Também foi possível a construção e formalização do conceito de linguagem de computador, sobretudo linguagem de programação, uma ferramenta para a expressão precisa de informação metodológica flexível o suficiente para ser representada em diversos níveis de abstração.",1
2,CIENCIA_DA_COMPUTACAO,2,O que originou a era da informação?,"Para outros campos científicos e para a sociedade de forma geral, a Ciência da Computação forneceu suporte para a Revolução Digital, dando origem a Era da Informação.",1
2,CIENCIA_DA_COMPUTACAO,2,Quem deu suporte à revolução digital?,"Para outros campos científicos e para a sociedade de forma geral, a Ciência da Computação forneceu suporte para a Revolução Digital, dando origem a Era da Informação.",1
